month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_feet,median_listing_price_per_square_feet_mm,median_listing_price_per_square_feet_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy
201909,pennsylvania,pa,225000.0,0.0225,0.0973,43942,-0.0636,-0.119,72.0,0.0909,-0.0137,14144,-0.007,-0.0643,516,-0.0301,-0.2456,13772,0.2363,-0.0769,58306,0.0711,0.2193,96.87673611111111,-0.0089,0.0265,1539.0,0.0059,0.0132,318909.0,0.0267,0.0653
201909,oregon,or,425050.0,-0.0023,0.0059,18424,-0.0355,-0.0386,59.5,0.0625,0.0259,6564,0.0526,-0.0144,316,-0.1684,-0.092,6740,0.2717,-0.0012,12065,-0.2807,-0.4296,217.23501688238605,-0.003,0.0268,1984.0,-5.0E-4,-0.011,555411.0,0.0,0.002
201909,south carolina,sc,279500.0,-0.0016,0.035,29308,-0.0365,-0.036,79.5,0.0461,-0.0305,8532,0.0057,0.1238,736,-0.1068,-0.1598,8824,0.2685,0.1963,49156,0.0844,0.1018,108.21874999999999,-3.0E-4,-0.0809,1551.0,-0.0039,-0.1388,427043.0,0.0197,0.052
201909,kansas,ks,192550.0,-0.0026,0.07,10227,-0.0142,-0.0858,66.0,0.0313,-0.0294,3384,0.0457,-0.0287,172,0.5926,0.2647,2900,0.2288,-0.0729,7591,0.097,1.1145,94.23003621116828,4.0E-4,0.1278,2016.0,0.008,0.05,278982.0,-0.0038,0.0453
201909,new hampshire,nh,340000.0,1.0E-4,0.0627,6353,0.0057,-0.1303,68.5,0.161,0.0074,2268,0.0841,-0.0018,68,0.7,-0.1053,1772,0.1973,-0.1348,11658,0.1877,2.4028,168.53102836879432,-0.0027,0.0557,2012.0,-0.0015,0.0234,448089.99999999994,-0.0122,0.0624
201909,utah,ut,392450.0,-0.0188,0.0062,15879,0.0243,0.25,57.0,0.0962,0.1176,5520,0.1192,-0.0043,396,0.0761,-0.2143,4444,0.2469,0.0155,54420,-0.0265,0.0162,155.4480639460154,-0.0111,0.0619,2549.0,-0.0237,-0.0542,630168.0,-0.0276,-0.0197
201909,vermont,vt,285050.0,-0.0087,0.0,5279,-0.0177,-0.089,108.0,0.1489,-0.0182,872,-0.1102,-0.0992,20,0.25,-0.375,976,0.1091,-0.0469,4441,0.1919,2.5585,145.18233963804136,-8.0E-4,0.0171,2000.0,0.0,-0.0055,403778.0,0.0052,0.0166
201909,louisiana,la,229500.0,-0.002,0.022,19694,-0.0153,-0.0264,85.5,0.0556,0.0427,4596,-0.0086,-0.012,196,0.4412,-0.0577,5336,0.3724,0.0908,23868,0.0832,0.7072,117.00195312499999,-0.0142,0.0254,1945.0,0.0157,0.0418,302148.0,-0.0013,0.0268
201909,idaho,id,368250.0,-0.0118,0.1157,8707,-0.0214,-0.0965,57.5,0.0849,-0.0417,3204,0.0088,-0.0123,196,0.4412,0.0652,2944,0.2475,0.0824,5015,0.1132,0.2481,171.47577518427116,-0.0052,0.0768,2206.0,-0.0068,0.0194,566650.0,-0.0077,0.0585
201909,tennessee,tn,289950.0,-3.0E-4,0.0741,28031,0.0113,-0.1131,57.0,0.0179,-0.0339,10780,0.0019,-0.0264,580,0.0985,-0.1989,8056,0.2125,-0.082,71870,0.1039,0.5959,126.4532942238267,0.0,0.0617,2036.5,-0.0114,0.0322,402641.0,0.0122,0.1142
